Gene,Human_var,Chicken_var,Mouse_var,Rat_var,Zebrafish_var,Cow_var
RNU5E-1,186,1,0,0,0,0
RNU5D-1,149,0,0,0,0,0
SNORD118,222,2,10,1,0,0
SNAR-B2,153,0,0,0,0,0
TRG-CCC5-1,67,0,0,0,0,0
MIR4538,96,0,1,0,0,0
SNAR-C4,143,0,0,0,0,0
RNU5F-1,164,0,0,0,0,0
TRK-TTT3-2,81,0,0,0,0,0
